,File Name,Modality,Vocal Channel,Emotion,Intensity,Statement,Repetition,Actor,Gender,File Path,Audio,Sampling Rate
0,01-01-01-01-01-01-01.mp4,full-AV,speech,neutral,normal,Statement 01,Repetition 01,1,male,Video_Speech_Actor_01/Actor_01/01-01-01-01-01-01-01.mp4,"[ 0.00061035  0.00091553 -0.00018311 ...  0.00064087  0.00067139
  0.00088501]",44100
1,01-01-01-01-01-02-01.mp4,full-AV,speech,neutral,normal,Statement 01,Repetition 02,1,male,Video_Speech_Actor_01/Actor_01/01-01-01-01-01-02-01.mp4,"[ 0.00106812 -0.00015259 -0.00054932 ... -0.00109863 -0.00100708
 -0.00091553]",44100
2,01-01-01-01-02-01-01.mp4,full-AV,speech,neutral,normal,Statement 02,Repetition 01,1,male,Video_Speech_Actor_01/Actor_01/01-01-01-01-02-01-01.mp4,[0.00125122 0.00112915 0.00149536 ... 0.00088501 0.00100708 0.00106812],44100
3,01-01-01-01-02-02-01.mp4,full-AV,speech,neutral,normal,Statement 02,Repetition 02,1,male,Video_Speech_Actor_01/Actor_01/01-01-01-01-02-02-01.mp4,"[ 0.00000000e+00 -3.05175781e-05 -3.05175781e-05 ...  1.61743164e-03
  1.73950195e-03  1.89208984e-03]",44100
4,01-01-02-01-01-01-01.mp4,full-AV,speech,calm,normal,Statement 01,Repetition 01,1,male,Video_Speech_Actor_01/Actor_01/01-01-02-01-01-01-01.mp4,"[ 0.00201416  0.00286865  0.00234985 ... -0.00170898 -0.0017395
 -0.00177002]",44100
5,01-01-02-01-01-02-01.mp4,full-AV,speech,calm,normal,Statement 01,Repetition 02,1,male,Video_Speech_Actor_01/Actor_01/01-01-02-01-01-02-01.mp4,"[-0.00177002 -0.00048828  0.00137329 ... -0.00186157 -0.00177002
 -0.00170898]",44100
6,01-01-02-01-02-01-01.mp4,full-AV,speech,calm,normal,Statement 02,Repetition 01,1,male,Video_Speech_Actor_01/Actor_01/01-01-02-01-02-01-01.mp4,"[0.00000000e+00 1.52587891e-04 6.10351562e-05 ... 1.25122070e-03
 1.12915039e-03 1.00708008e-03]",44100
7,01-01-02-01-02-02-01.mp4,full-AV,speech,calm,normal,Statement 02,Repetition 02,1,male,Video_Speech_Actor_01/Actor_01/01-01-02-01-02-02-01.mp4,"[0.00000000e+00 3.05175781e-05 0.00000000e+00 ... 3.35693359e-04
 3.05175781e-04 3.05175781e-04]",44100
8,01-01-02-02-01-01-01.mp4,full-AV,speech,calm,strong,Statement 01,Repetition 01,1,male,Video_Speech_Actor_01/Actor_01/01-01-02-02-01-01-01.mp4,"[ 9.15527344e-05  1.22070312e-04  1.22070312e-04 ... -8.23974609e-04
 -8.85009766e-04 -9.46044922e-04]",44100
9,01-01-02-02-01-02-01.mp4,full-AV,speech,calm,strong,Statement 01,Repetition 02,1,male,Video_Speech_Actor_01/Actor_01/01-01-02-02-01-02-01.mp4,"[ 0.0012207   0.00097656  0.00115967 ... -0.00125122 -0.00112915
 -0.00106812]",44100
10,01-01-02-02-02-01-01.mp4,full-AV,speech,calm,strong,Statement 02,Repetition 01,1,male,Video_Speech_Actor_01/Actor_01/01-01-02-02-02-01-01.mp4,"[ 0.00000000e+00 -3.05175781e-05 -3.05175781e-05 ...  9.76562500e-04
  9.76562500e-04  9.46044922e-04]",44100
11,01-01-02-02-02-02-01.mp4,full-AV,speech,calm,strong,Statement 02,Repetition 02,1,male,Video_Speech_Actor_01/Actor_01/01-01-02-02-02-02-01.mp4,"[-9.15527344e-04 -1.12915039e-03 -1.25122070e-03 ...  1.83105469e-04
  6.10351562e-05  0.00000000e+00]",44100
12,01-01-03-01-01-01-01.mp4,full-AV,speech,happy,normal,Statement 01,Repetition 01,1,male,Video_Speech_Actor_01/Actor_01/01-01-03-01-01-01-01.mp4,"[-0.0015564  -0.00067139 -0.00027466 ... -0.00021362 -0.00030518
 -0.00036621]",44100
13,01-01-03-01-01-02-01.mp4,full-AV,speech,happy,normal,Statement 01,Repetition 02,1,male,Video_Speech_Actor_01/Actor_01/01-01-03-01-01-02-01.mp4,"[-9.15527344e-05  1.49536133e-03  2.62451172e-03 ... -1.34277344e-03
 -1.34277344e-03 -1.31225586e-03]",44100
14,01-01-03-01-02-02-01.mp4,full-AV,speech,happy,normal,Statement 02,Repetition 02,1,male,Video_Speech_Actor_01/Actor_01/01-01-03-01-02-02-01.mp4,"[ 0.          0.          0.         ... -0.00149536 -0.0015564
 -0.00149536]",44100
15,01-01-03-02-01-01-01.mp4,full-AV,speech,happy,strong,Statement 01,Repetition 01,1,male,Video_Speech_Actor_01/Actor_01/01-01-03-02-01-01-01.mp4,"[-0.00091553 -0.00085449 -0.00048828 ... -0.00518799 -0.00540161
 -0.00570679]",44100
16,01-01-03-02-01-02-01.mp4,full-AV,speech,happy,strong,Statement 01,Repetition 02,1,male,Video_Speech_Actor_01/Actor_01/01-01-03-02-01-02-01.mp4,"[-9.15527344e-05  1.06811523e-03  5.79833984e-04 ...  1.86157227e-03
  1.73950195e-03  1.70898438e-03]",44100
17,01-01-03-02-02-01-01.mp4,full-AV,speech,happy,strong,Statement 02,Repetition 01,1,male,Video_Speech_Actor_01/Actor_01/01-01-03-02-02-01-01.mp4,"[ 1.95617676e-02  1.06811523e-02  3.96728516e-04 ... -7.62939453e-04
 -5.18798828e-04 -6.10351562e-05]",44100
18,01-01-03-02-02-02-01.mp4,full-AV,speech,happy,strong,Statement 02,Repetition 02,1,male,Video_Speech_Actor_01/Actor_01/01-01-03-02-02-02-01.mp4,"[ 6.10351562e-05  9.15527344e-05  9.15527344e-05 ... -1.83105469e-04
 -7.01904297e-04 -1.19018555e-03]",44100
19,01-01-04-01-01-01-01.mp4,full-AV,speech,sad,normal,Statement 01,Repetition 01,1,male,Video_Speech_Actor_01/Actor_01/01-01-04-01-01-01-01.mp4,"[ 1.64794922e-03  7.62939453e-04  3.05175781e-05 ... -3.35693359e-04
 -3.66210938e-04 -1.52587891e-04]",44100
20,01-01-04-01-01-02-01.mp4,full-AV,speech,sad,normal,Statement 01,Repetition 02,1,male,Video_Speech_Actor_01/Actor_01/01-01-04-01-01-02-01.mp4,"[-0.00033569 -0.00012207  0.00131226 ... -0.00054932 -0.00067139
 -0.00076294]",44100
21,01-01-04-01-02-01-01.mp4,full-AV,speech,sad,normal,Statement 02,Repetition 01,1,male,Video_Speech_Actor_01/Actor_01/01-01-04-01-02-01-01.mp4,"[-0.00186157 -0.00198364 -0.00192261 ...  0.00094604  0.00094604
  0.00097656]",44100
22,01-01-04-01-02-02-01.mp4,full-AV,speech,sad,normal,Statement 02,Repetition 02,1,male,Video_Speech_Actor_01/Actor_01/01-01-04-01-02-02-01.mp4,"[-2.13623047e-04 -1.52587891e-04 -3.05175781e-05 ... -1.52587891e-04
 -1.83105469e-04 -2.13623047e-04]",44100
23,01-01-04-02-01-01-01.mp4,full-AV,speech,sad,strong,Statement 01,Repetition 01,1,male,Video_Speech_Actor_01/Actor_01/01-01-04-02-01-01-01.mp4,"[-0.00042725  0.00054932  0.00094604 ... -0.00146484 -0.00167847
 -0.00177002]",44100
24,01-01-04-02-01-02-01.mp4,full-AV,speech,sad,strong,Statement 01,Repetition 02,1,male,Video_Speech_Actor_01/Actor_01/01-01-04-02-01-02-01.mp4,"[ 0.00082397  0.00106812  0.00204468 ... -0.00079346 -0.00082397
 -0.00091553]",44100
25,01-01-04-02-02-01-01.mp4,full-AV,speech,sad,strong,Statement 02,Repetition 01,1,male,Video_Speech_Actor_01/Actor_01/01-01-04-02-02-01-01.mp4,"[ 0.00234985  0.00164795  0.00146484 ... -0.00164795 -0.00183105
 -0.00192261]",44100
26,01-01-04-02-02-02-01.mp4,full-AV,speech,sad,strong,Statement 02,Repetition 02,1,male,Video_Speech_Actor_01/Actor_01/01-01-04-02-02-02-01.mp4,"[ 0.00079346  0.00018311  0.00039673 ... -0.00018311 -0.00042725
 -0.00064087]",44100
27,01-01-05-01-01-01-01.mp4,full-AV,speech,angry,normal,Statement 01,Repetition 01,1,male,Video_Speech_Actor_01/Actor_01/01-01-05-01-01-01-01.mp4,"[ 3.96728516e-03 -3.05175781e-05  2.10571289e-03 ...  5.82885742e-03
  4.63867188e-03  3.72314453e-03]",44100
28,01-01-05-01-02-01-01.mp4,full-AV,speech,angry,normal,Statement 02,Repetition 01,1,male,Video_Speech_Actor_01/Actor_01/01-01-05-01-02-01-01.mp4,"[ 2.47192383e-03 -9.15527344e-05 -2.74658203e-04 ... -9.30786133e-03
 -9.70458984e-03 -9.97924805e-03]",44100
29,01-01-05-01-02-02-01.mp4,full-AV,speech,angry,normal,Statement 02,Repetition 02,1,male,Video_Speech_Actor_01/Actor_01/01-01-05-01-02-02-01.mp4,"[-0.00015259 -0.00012207 -0.00012207 ... -0.00918579 -0.00872803
 -0.00802612]",44100
30,01-01-05-02-01-01-01.mp4,full-AV,speech,angry,strong,Statement 01,Repetition 01,1,male,Video_Speech_Actor_01/Actor_01/01-01-05-02-01-01-01.mp4,"[-0.03662109 -0.03555298 -0.00869751 ...  0.00021362 -0.00637817
 -0.01669312]",44100
31,01-01-05-02-01-02-01.mp4,full-AV,speech,angry,strong,Statement 01,Repetition 02,1,male,Video_Speech_Actor_01/Actor_01/01-01-05-02-01-02-01.mp4,"[-0.0085144  -0.01321411 -0.00726318 ... -0.00637817 -0.00750732
 -0.01071167]",44100
32,01-01-05-02-02-01-01.mp4,full-AV,speech,angry,strong,Statement 02,Repetition 01,1,male,Video_Speech_Actor_01/Actor_01/01-01-05-02-02-01-01.mp4,"[ 2.74658203e-04  1.22070312e-04  3.05175781e-05 ... -8.05664062e-03
 -1.01928711e-02 -1.26647949e-02]",44100
33,01-01-05-02-02-02-01.mp4,full-AV,speech,angry,strong,Statement 02,Repetition 02,1,male,Video_Speech_Actor_01/Actor_01/01-01-05-02-02-02-01.mp4,"[-6.10351562e-05 -3.05175781e-05  0.00000000e+00 ...  1.20544434e-02
  1.02539062e-02  1.12609863e-02]",44100
34,01-01-06-01-01-01-01.mp4,full-AV,speech,fearful,normal,Statement 01,Repetition 01,1,male,Video_Speech_Actor_01/Actor_01/01-01-06-01-01-01-01.mp4,"[-0.00021362 -0.00134277 -0.00189209 ...  0.00564575  0.00564575
  0.00546265]",44100
35,01-01-06-01-01-02-01.mp4,full-AV,speech,fearful,normal,Statement 01,Repetition 02,1,male,Video_Speech_Actor_01/Actor_01/01-01-06-01-01-02-01.mp4,"[ 4.88281250e-04  7.32421875e-04 -9.15527344e-05 ... -2.19726562e-03
 -1.95312500e-03 -2.01416016e-03]",44100
36,01-01-06-01-02-01-01.mp4,full-AV,speech,fearful,normal,Statement 02,Repetition 01,1,male,Video_Speech_Actor_01/Actor_01/01-01-06-01-02-01-01.mp4,[0.00064087 0.00250244 0.0043335  ... 0.00057983 0.00036621 0.00045776],44100
37,01-01-06-01-02-02-01.mp4,full-AV,speech,fearful,normal,Statement 02,Repetition 02,1,male,Video_Speech_Actor_01/Actor_01/01-01-06-01-02-02-01.mp4,"[-1.22070312e-04 -1.22070312e-04 -1.52587891e-04 ...  8.85009766e-04
  4.57763672e-04  3.05175781e-05]",44100
38,01-01-06-02-01-01-01.mp4,full-AV,speech,fearful,strong,Statement 01,Repetition 01,1,male,Video_Speech_Actor_01/Actor_01/01-01-06-02-01-01-01.mp4,"[-0.01080322 -0.01248169 -0.01205444 ...  0.01174927  0.01153564
  0.01351929]",44100
39,01-01-06-02-01-02-01.mp4,full-AV,speech,fearful,strong,Statement 01,Repetition 02,1,male,Video_Speech_Actor_01/Actor_01/01-01-06-02-01-02-01.mp4,"[-0.01223755 -0.00906372 -0.00665283 ...  0.01571655  0.01065063
  0.01086426]",44100
40,01-01-06-02-02-01-01.mp4,full-AV,speech,fearful,strong,Statement 02,Repetition 01,1,male,Video_Speech_Actor_01/Actor_01/01-01-06-02-02-01-01.mp4,"[ 0.01550293 -0.00485229 -0.02090454 ... -0.03591919 -0.03598022
 -0.03875732]",44100
